ticker,date,action,price,shares,pnl,pnl_pct,reason,holding_days,entry_price
513770,2023-08-01,BUY,0.855,90908,0.0,0.0,TREND_SIGNAL,0,0.855
513770,2023-08-16,SELL,0.805,90908,-4545.399999999994,-5.847953216374258,MA_BREAK,15,0.855
MUFG,2023-10-02,BUY,8.54,9061,0.0,0.0,TREND_SIGNAL,0,8.54
MUFG,2023-10-09,SELL,8.34,9061,-1812.1999999999935,-2.3419203747072515,ADX_FADE,7,8.54
IAU,2023-11-01,BUY,37.46,2062,0.0,0.0,TREND_SIGNAL,0,37.46
IAU,2023-11-10,SELL,36.64,2062,-1690.8400000000006,-2.1890016017084846,TRAILING_STOP,9,37.46
IVV,2023-12-01,BUY,461.13,167,0.0,0.0,TREND_SIGNAL,0,461.13
IAU,2023-12-01,BUY,39.21,1966,0.0,0.0,TREND_SIGNAL,0,39.21
IAU,2023-12-08,SELL,37.9,1966,-2575.4600000000046,-3.3409844427441993,TRAILING_STOP,7,39.21
518880,2024-04-01,BUY,5.155,15078,0.0,0.0,TREND_SIGNAL,0,5.155
IVV,2024-04-08,SELL,521.13,167,10020.0,13.011515190943989,ADX_FADE,129,461.13
518880,2024-04-23,SELL,5.232,15078,1161.0059999999994,1.4936954413190984,TRAILING_STOP,22,5.155
IVV,2024-08-01,BUY,546.05,142,0.0,0.0,TREND_SIGNAL,0,546.05
QQQ,2024-08-01,BUY,459.66,169,0.0,0.0,TREND_SIGNAL,0,459.66
IVV,2024-08-05,SELL,520.18,142,-3673.540000000001,-4.737661386319935,TRAILING_STOP,4,546.05
QQQ,2024-08-29,SELL,470.66,169,1859.0,2.3930731410172656,ADX_FADE,28,459.66
IAU,2024-11-01,BUY,51.62,1503,0.0,0.0,TREND_SIGNAL,0,51.62
IAU,2024-11-06,SELL,50.23,1503,-2089.170000000001,-2.692754746222392,TRAILING_STOP,5,51.62
513910,2025-01-02,BUY,1.307,59277,0.0,0.0,TREND_SIGNAL,0,1.307
159545,2025-01-02,BUY,1.2,64563,0.0,0.0,TREND_SIGNAL,0,1.2
588000,2025-01-02,BUY,1.009,76784,0.0,0.0,TREND_SIGNAL,0,1.009
588000,2025-01-13,SELL,1.005,76784,-307.13600000000025,-0.3964321110009883,ADX_FADE,11,1.009
159545,2025-01-16,SELL,1.188,64563,-774.7560000000007,-1.0000000000000009,ADX_FADE,14,1.2
513910,2025-01-21,SELL,1.295,59277,-711.3240000000006,-0.9181331293037553,ADX_FADE,19,1.307
513770,2025-03-03,BUY,1.071,72214,0.0,0.0,TREND_SIGNAL,0,1.071
513770,2025-03-25,SELL,1.077,72214,433.2840000000004,0.5602240896358524,TRAILING_STOP,22,1.071
518880,2025-04-01,BUY,7.056,10965,0.0,0.0,TREND_SIGNAL,0,7.056
518880,2025-04-28,SELL,7.465,10965,4484.684999999998,5.796485260770967,TRAILING_STOP,27,7.056
